Date,Non indexées,Dans l'index,Impressions
2025-07-17,,,396
2025-07-18,,,310
2025-07-19,79,71,317
2025-07-20,79,71,318
2025-07-21,79,71,305
2025-07-22,79,71,557
2025-07-23,80,70,507
2025-07-24,80,70,468
2025-07-25,80,70,452
2025-07-26,80,70,350
2025-07-27,80,70,324
2025-07-28,80,70,468
2025-07-29,80,70,437
2025-07-30,80,70,395
2025-07-31,80,70,438
2025-08-01,80,70,407
2025-08-02,80,70,285
2025-08-03,80,70,288
2025-08-04,80,70,416
2025-08-05,80,70,479
2025-08-06,83,72,431
2025-08-07,83,72,476
2025-08-08,83,72,340
2025-08-09,83,72,374
2025-08-10,99,75,338
2025-08-11,99,75,426
2025-08-12,99,75,424
2025-08-13,116,75,466
2025-08-14,116,75,460
2025-08-15,116,75,325
2025-08-16,116,75,353
2025-08-17,117,74,388
2025-08-18,117,74,468
2025-08-19,117,74,552
2025-08-20,117,74,531
2025-08-21,117,74,517
2025-08-22,117,74,424
2025-08-23,117,74,375
2025-08-24,117,74,264
2025-08-25,117,74,495
2025-08-26,117,74,443
2025-08-27,117,75,486
2025-08-28,117,75,447
2025-08-29,117,75,393
2025-08-30,117,75,339
2025-08-31,118,75,366
2025-09-01,118,75,525
2025-09-02,118,75,499
2025-09-03,123,75,505
2025-09-04,123,75,412
2025-09-05,123,75,383
2025-09-06,123,75,327
2025-09-07,123,75,335
2025-09-08,123,75,525
2025-09-09,123,75,432
2025-09-10,154,81,453
2025-09-11,154,81,359
2025-09-12,154,81,345
2025-09-13,154,81,245
2025-09-14,152,82,270
2025-09-15,152,82,413
2025-09-16,152,82,381
2025-09-17,132,83,401
2025-09-18,132,83,642
2025-09-19,132,83,319
2025-09-20,132,83,288
2025-09-21,138,82,306
2025-09-22,138,82,425
2025-09-23,138,82,310
2025-09-24,157,90,347
2025-09-25,157,90,385
2025-09-26,157,90,302
2025-09-27,157,90,275
2025-09-28,162,97,305
2025-09-29,162,97,377
2025-09-30,162,97,410
2025-10-01,164,101,413
2025-10-02,164,101,347
2025-10-03,164,101,263
2025-10-04,164,101,262
2025-10-05,168,101,247
2025-10-06,168,101,403
2025-10-07,168,101,333
2025-10-08,177,103,381
2025-10-09,177,103,347
2025-10-10,177,103,337
2025-10-11,177,103,249
